CustomerID,Age,Gender,Region,No.ofProductsPurchased,TotalSpend(Annually),CreditScore,MaritalStatus,LoyaltyStatus,TransactionFrequency(per month)
51,31,Female,East,45,36867.41873444989,566,Married,Gold,11
52,67,Female,West,26,65926.5734314916,656,Single,Platinum,14
53,26,Male,West,36,48588.64447639291,300,Married,Gold,11
54,43,Female,North,34,87125.37283388639,326,Divorced,Platinum,14
55,19,Male,North,9,17007.731843704423,847,Divorced,Silver,7
56,37,Male,East,12,73800.27398662319,459,Single,Platinum,13
57,45,Male,West,2,36364.46150507839,698,Divorced,Gold,10
58,64,Female,South,38,49558.766250919165,842,Divorced,Gold,11
59,24,Male,North,5,98901.44864765847,426,Divorced,Platinum,13
60,61,Male,West,5,36390.689486660696,509,Divorced,Gold,10
61,25,Female,East,22,67605.65580727273,449,Divorced,Platinum,13
62,64,Female,South,5,41988.28414273091,330,Married,Gold,9
63,52,Female,East,4,5313.763128947501,601,Married,New,2
64,31,Male,North,9,18196.513082376623,556,Single,Silver,7
65,34,Male,West,29,43208.24333977223,356,Divorced,Gold,8
66,53,Female,West,22,36682.57287750477,308,Married,Gold,9
67,67,Male,West,27,43074.32996664335,304,Married,Gold,11
68,57,Female,West,10,69184.07611638999,413,Married,Platinum,14
69,21,Female,South,16,44004.197877125436,504,Divorced,Gold,9
70,19,Male,South,42,83389.97354448252,323,Married,Platinum,14
71,23,Male,East,42,40176.25511842001,792,Single,Gold,11
72,59,Female,South,10,17047.39990710831,705,Single,New,2
73,21,Female,North,6,5148.691086088137,402,Divorced,New,1
74,46,Female,North,49,16742.074494751843,359,Single,Silver,3
75,35,Female,West,5,59105.31266686773,385,Married,Platinum,14
76,43,Male,North,6,18689.897012484194,671,Divorced,Silver,4
77,61,Female,East,47,31264.578564513933,501,Single,Gold,11
78,51,Female,South,25,44227.624412613404,388,Divorced,Gold,10
79,27,Female,South,4,13673.902268316184,736,Married,New,1
80,53,Male,South,40,16402.84944490496,419,Single,Silver,4
81,31,Male,North,48,46399.16241451161,455,Married,Gold,8
82,48,Female,South,32,43673.085689271495,698,Single,Gold,11
83,65,Male,West,35,72611.21185638505,487,Divorced,Platinum,12
84,32,Male,West,10,34948.50670185468,351,Single,Gold,9
85,25,Male,West,34,17276.188406892703,830,Single,Silver,5
86,31,Female,North,36,14583.74191755062,779,Single,New,2
87,40,Female,South,6,8967.211687095061,529,Divorced,New,2
88,57,Male,North,43,33767.9064654394,780,Single,Gold,9
89,38,Female,South,46,41373.18457982976,429,Married,Gold,8
90,33,Female,East,16,49233.71990444512,354,Divorced,Gold,8
91,62,Male,East,19,81855.82873823064,570,Divorced,Platinum,12
92,35,Male,North,34,38799.29460311736,399,Married,Gold,11
93,64,Female,West,25,44327.45945877817,368,Divorced,Gold,11
94,41,Male,North,31,91228.89595093532,598,Single,Platinum,12
95,43,Female,West,49,23857.744468302633,828,Divorced,Silver,5
96,42,Female,South,41,93591.61794964963,653,Married,Platinum,13
97,62,Male,West,17,5631.325834381639,451,Divorced,New,2
98,58,Female,West,47,91501.45011031284,629,Married,Platinum,14
99,46,Female,South,30,97600.96202028476,415,Divorced,Platinum,14
100,32,Male,East,39,22518.652005352757,841,Married,Silver,7
101,62,Male,South,31,24075.025733779876,622,Divorced,Silver,4
102,18,Male,North,19,42189.350858996695,528,Single,Gold,9
103,42,Female,North,35,89071.74317991454,659,Married,Platinum,14
104,24,Male,North,29,27344.487602661342,304,Married,Silver,3
105,26,Male,North,1,1245.0638458545466,327,Divorced,New,2
106,41,Male,North,4,44667.191281807754,663,Divorced,Gold,8
107,18,Male,East,28,89190.76223151188,761,Divorced,Platinum,13
108,61,Female,East,18,7303.8649551241315,530,Single,New,1
109,25,Female,West,26,25705.43488984644,694,Divorced,Silver,5
110,41,Male,North,40,30828.05718368539,570,Married,Gold,11
111,28,Female,South,19,4978.347957540154,603,Divorced,New,2
112,68,Male,North,6,90908.98248608703,682,Single,Platinum,12
113,34,Male,East,1,9406.064271655932,327,Divorced,New,1
114,25,Female,North,8,34589.3584114387,818,Divorced,Gold,10
115,52,Female,East,33,78959.74701763975,498,Married,Platinum,14
116,52,Male,West,43,90216.51197752918,381,Divorced,Platinum,14
117,50,Male,West,21,7771.6687857326715,387,Single,New,1
118,22,Female,West,24,42377.80233960158,689,Divorced,Gold,10
119,59,Male,East,25,50934.55941310001,750,Divorced,Platinum,14
120,56,Female,North,47,44477.71680223132,732,Married,Gold,8
121,58,Male,North,43,26598.637549182225,673,Divorced,Silver,5
122,45,Male,South,19,17228.49506625635,734,Married,New,2
123,24,Female,East,29,45316.183229799135,486,Married,Gold,8
124,26,Female,South,10,21463.723390182902,689,Divorced,Silver,5
125,25,Female,West,12,29906.282188880865,517,Married,Silver,7
126,29,Female,North,33,45415.73831745318,407,Married,Gold,9
127,51,Female,East,7,41573.60010559971,849,Divorced,Gold,9
128,50,Female,South,17,9407.721427719614,648,Divorced,New,1
129,65,Female,South,10,19081.983394580184,821,Single,New,2
130,40,Male,South,31,90728.35326671324,325,Single,Platinum,14
131,41,Male,North,6,6073.254270853897,347,Married,New,1
132,54,Male,North,17,40542.02038293427,669,Married,Gold,11
133,52,Female,North,37,66435.39659872605,313,Divorced,Platinum,12
134,61,Female,East,18,18763.169686559224,486,Single,Silver,4
135,57,Female,North,26,22685.392754626297,823,Single,Silver,4
136,39,Male,East,49,41555.635234239475,578,Divorced,Gold,11
137,44,Female,South,16,62226.32157294228,640,Divorced,Platinum,14
138,52,Female,South,8,96130.06218267394,627,Divorced,Platinum,14
139,18,Male,West,24,6015.465970608867,324,Divorced,New,1
140,52,Female,North,13,22897.5798807322,828,Single,Silver,3
141,54,Male,South,29,21534.575825492102,725,Divorced,Silver,4
142,64,Male,North,32,1522.6416614517448,328,Divorced,New,2
143,31,Female,East,24,28236.02001689774,622,Single,Silver,3
144,20,Female,South,16,3852.948037987268,612,Divorced,New,2
145,18,Female,North,11,24636.905017024415,569,Single,Silver,7
146,22,Male,South,32,24111.50338455053,594,Single,Silver,7
147,43,Male,South,6,23767.302380767902,522,Divorced,Silver,3
148,31,Male,North,35,5731.409818104256,374,Divorced,New,1
149,56,Female,South,33,17721.59750146992,401,Married,Silver,6
150,44,Female,South,18,19209.08611571948,831,Married,Silver,6
151,26,Female,South,37,76209.403563515,472,Single,Platinum,13
152,32,Female,South,13,26840.13677395389,303,Single,Silver,7
153,32,Male,East,10,38639.77941300837,778,Married,Gold,8
154,43,Male,South,37,18058.838295691963,694,Single,Silver,3
155,59,Male,West,26,16319.166372081389,466,Married,Silver,3
156,30,Male,South,46,83150.5501747012,599,Divorced,Platinum,13
157,68,Female,North,17,71166.99853105823,417,Divorced,Platinum,13
158,49,Female,West,1,11253.70892622642,811,Divorced,New,2
159,56,Female,East,25,7070.201919882854,474,Single,New,1
160,66,Male,West,34,34151.57461708746,458,Divorced,Gold,10
161,69,Male,West,39,75450.80241518386,683,Single,Platinum,12
162,49,Female,West,10,3755.691775691744,526,Divorced,New,1
163,21,Female,North,20,9385.210579906003,337,Single,New,1
164,47,Male,North,7,12282.880662711656,762,Single,New,1
165,54,Female,North,16,70995.92607710142,730,Married,Platinum,12
166,40,Male,East,37,97974.6798414003,403,Married,Platinum,13
167,56,Male,North,29,36374.50359876631,492,Married,Gold,9
168,62,Male,North,12,82229.65815055,549,Single,Platinum,14
169,32,Female,West,17,65836.35218531627,312,Married,Platinum,14
170,60,Female,North,48,55533.74895586245,687,Married,Platinum,13
171,46,Male,South,20,42550.94465368586,370,Married,Gold,10
172,53,Female,North,26,28740.473029280107,737,Single,Silver,6
173,30,Male,East,48,21788.470008511376,343,Single,Silver,5
174,49,Male,East,19,6635.588884232205,571,Married,New,2
175,24,Male,South,47,24133.47619884935,313,Married,Silver,6
176,68,Male,East,12,21226.34553941814,670,Single,Silver,3
177,39,Female,East,21,42297.93277529461,411,Single,Gold,10
178,45,Male,West,42,35186.361688379446,678,Married,Gold,11
179,19,Male,South,34,20670.568569045783,613,Married,Silver,5
180,59,Female,West,7,21634.782845435628,714,Married,Silver,4
181,62,Male,West,45,27960.130253437208,784,Single,Silver,3
182,23,Male,North,35,4134.996053499294,468,Married,New,1
183,45,Female,South,15,42702.74096231653,545,Single,Gold,9
184,45,Female,North,1,18201.05756128348,565,Divorced,Silver,6
185,61,Female,North,26,62628.486452696336,542,Married,Platinum,12
186,61,Male,West,35,24726.433131899663,599,Divorced,Silver,3
187,37,Female,East,25,88115.49636833018,626,Single,Platinum,12
188,47,Female,South,42,14621.171765262814,829,Divorced,New,2
189,28,Male,East,15,66754.98483888833,641,Married,Platinum,14
190,45,Male,West,22,48205.43111864545,548,Divorced,Gold,9
191,42,Male,West,6,2222.2703354413843,679,Divorced,New,1
192,56,Male,West,15,17207.14237649347,831,Divorced,New,1
193,50,Male,West,24,25352.561246206544,680,Single,Silver,5
194,18,Female,West,21,7212.206464550147,341,Married,New,2
195,44,Female,West,7,9418.78399981172,644,Single,New,2
196,69,Female,East,29,86409.51504903962,560,Divorced,Platinum,14
197,30,Male,North,32,19523.477841143762,605,Divorced,Silver,3
198,58,Male,East,32,37068.18448464618,539,Single,Gold,9
199,20,Male,South,5,20866.664597998413,612,Single,Silver,6
200,56,Female,East,4,30616.17348196212,740,Divorced,Gold,8
201,23,Female,West,22,95675.51577041285,432,Married,Platinum,12
202,25,Male,East,18,1661.973434783235,350,Single,New,1
203,44,Female,North,35,7298.148538877244,691,Divorced,New,2
204,26,Male,South,17,25952.415072649674,822,Divorced,Silver,3
205,54,Female,East,24,27655.725759458095,807,Married,Silver,7
206,50,Female,North,2,23300.43383393284,653,Divorced,Silver,7
207,68,Female,East,13,7527.379814708832,694,Single,New,1
208,59,Male,South,15,3724.5063201935595,395,Divorced,New,2
209,61,Female,East,5,87279.2005456395,405,Divorced,Platinum,13
210,41,Female,West,3,36868.314745237716,812,Divorced,Gold,11
211,32,Male,East,37,28542.57717640044,541,Divorced,Silver,7
212,49,Female,North,37,11633.818077663827,787,Married,New,1
213,49,Male,East,37,36315.14621347907,814,Single,Gold,9
214,41,Male,North,3,22481.54177332696,360,Divorced,Silver,3
215,58,Male,South,35,26637.758357221464,715,Single,Silver,3
216,69,Male,East,23,44975.98210206064,593,Married,Gold,10
217,66,Male,South,28,34214.33748649007,601,Single,Gold,9
218,66,Female,South,30,32884.71393223593,469,Married,Gold,8
219,69,Male,East,18,3735.726438646884,340,Single,New,2
220,29,Male,North,36,74187.70758379513,530,Single,Platinum,14
221,56,Male,South,33,23085.075672386258,708,Divorced,Silver,6
222,19,Male,South,26,21437.063864329186,596,Single,Silver,7
223,20,Female,East,48,43261.80233296014,754,Divorced,Gold,10
224,66,Male,East,40,4848.030492375139,356,Divorced,New,1
225,54,Female,East,17,48926.58019877589,539,Single,Gold,8
226,66,Male,East,40,3348.7196318338238,475,Divorced,New,2
227,34,Female,East,7,81368.60603350474,362,Single,Platinum,14
228,66,Male,West,8,24170.669079901978,437,Divorced,Silver,5
229,19,Male,East,31,19223.62082823426,753,Divorced,Silver,3
230,19,Female,North,12,14116.876245140273,748,Married,New,1
231,45,Male,South,48,68273.68097199855,525,Married,Platinum,13
232,40,Female,North,31,58624.95300102446,742,Single,Platinum,13
233,54,Male,North,44,22159.42818947316,505,Divorced,Silver,6
234,49,Female,West,19,20799.933795327623,326,Married,Silver,6
235,50,Male,East,10,33566.34720134319,756,Married,Gold,10
236,18,Male,South,39,5048.920408759854,406,Married,New,2
237,36,Female,North,12,21327.659523881088,743,Divorced,Silver,3
238,19,Male,East,20,56568.28388297299,335,Single,Platinum,12
239,61,Male,East,37,56559.37709590054,454,Divorced,Platinum,13
240,43,Male,West,48,24712.61069768546,468,Divorced,Silver,7
241,49,Male,West,41,85329.0402358552,571,Married,Platinum,14
242,23,Male,West,7,19411.80419908905,846,Divorced,New,1
243,49,Male,South,14,54350.23452305499,719,Divorced,Platinum,13
244,21,Female,North,11,55893.07461891267,483,Married,Platinum,13
245,28,Female,West,7,15777.271927018664,536,Married,Silver,4
246,34,Female,West,29,15322.284307569302,808,Divorced,New,1
247,55,Male,West,10,16227.466142952264,740,Married,New,1
248,41,Female,North,29,38070.469038643154,421,Single,Gold,8
249,22,Male,North,9,17979.02220961133,716,Single,New,1
250,69,Male,West,36,43733.988720076,834,Single,Gold,11
251,51,Male,West,48,29787.6063142029,674,Single,Silver,7
252,23,Male,East,10,56894.749164983936,625,Single,Platinum,12
253,39,Female,West,19,10583.156643425013,779,Married,New,2
254,28,Male,South,31,35496.07411138776,449,Married,Gold,11
255,65,Female,South,17,10190.501953168441,789,Single,New,1
256,33,Male,West,9,28989.17141799769,452,Single,Silver,4
257,50,Female,North,45,36079.033173763506,316,Single,Gold,8
258,26,Female,East,33,41048.60333942917,647,Married,Gold,9
259,23,Female,North,34,36361.39265757484,758,Married,Gold,9
260,33,Female,West,45,18687.12932983235,501,Divorced,Silver,5
261,46,Female,South,24,33047.2944794976,722,Divorced,Gold,10
262,20,Female,East,9,66018.29601645678,579,Divorced,Platinum,13
263,37,Male,North,7,24231.283956119616,721,Divorced,Silver,3
264,53,Female,North,16,98581.05998437639,764,Married,Platinum,13
265,36,Male,West,19,77904.60201835747,654,Married,Platinum,13
266,43,Female,East,39,22990.635991485076,677,Married,Silver,4
267,20,Male,South,6,1317.367162946322,423,Married,New,2
268,36,Female,West,11,92004.95078338464,379,Single,Platinum,13
269,37,Female,East,12,15672.620624963598,532,Divorced,Silver,5
270,49,Male,North,42,95311.61370517395,779,Married,Platinum,13
271,24,Female,West,13,40773.434507134356,453,Married,Gold,10
272,69,Female,North,12,58423.330261701776,708,Divorced,Platinum,14
273,58,Female,North,21,72585.36960032294,330,Married,Platinum,12
274,50,Male,West,10,99749.22403415991,802,Single,Platinum,14
275,57,Female,West,20,36101.65704088186,670,Married,Gold,10
276,56,Male,West,36,63472.988427428936,622,Divorced,Platinum,13
277,35,Female,West,28,16770.08842563759,631,Single,Silver,5
278,57,Female,West,24,79857.11743954194,542,Single,Platinum,14
279,18,Male,North,5,16338.404985209443,729,Divorced,Silver,6
280,28,Female,South,37,88300.40319020386,481,Divorced,Platinum,13
281,45,Female,South,12,95961.17571652791,772,Single,Platinum,14
282,42,Male,West,35,96593.55556077497,675,Married,Platinum,13
283,67,Female,North,40,1971.24627589694,380,Divorced,New,2
284,40,Male,South,2,15582.625973529688,849,Single,New,2
285,48,Male,South,41,31942.197098043333,719,Divorced,Gold,8
286,47,Male,South,45,23580.24212226446,766,Married,Silver,3
287,59,Female,North,39,46299.61170419162,727,Married,Gold,10
288,52,Male,West,42,23066.85243454927,356,Single,Silver,5
289,24,Male,West,9,47441.07652213362,621,Married,Gold,8
290,33,Female,West,22,46033.487096987556,841,Married,Gold,8
291,43,Male,East,47,63827.41749699642,794,Married,Platinum,14
292,65,Female,East,5,81505.11414412208,565,Divorced,Platinum,12
293,69,Female,East,12,50370.60632380657,526,Single,Platinum,12
294,66,Female,North,1,69802.09579624321,353,Single,Platinum,13
295,19,Female,South,44,61898.00838921476,303,Single,Platinum,14
296,18,Male,South,22,48742.32691886972,738,Married,Gold,9
297,65,Male,North,38,21080.835175847402,609,Divorced,Silver,5
298,29,Male,North,19,6886.579855802325,388,Single,New,2
299,22,Male,West,16,7587.834483462465,619,Divorced,New,2
300,54,Male,West,31,26598.188080222615,674,Single,Silver,5
301,49,Female,East,3,17357.751920175288,800,Married,New,2
302,26,Male,East,23,35783.30121975469,533,Single,Gold,10
303,58,Male,North,42,25291.015450938332,636,Single,Silver,4
304,52,Male,East,18,23235.14223393425,484,Married,Silver,7
305,36,Female,South,26,15973.726647975189,737,Married,New,1
306,65,Female,North,13,1007.3315557787938,479,Single,New,1
307,33,Male,North,18,35165.15201905713,375,Divorced,Gold,9
308,20,Female,South,3,96534.18483578277,571,Married,Platinum,14
309,37,Male,West,23,19351.141249585886,354,Single,Silver,3
310,41,Male,West,3,71900.77611248213,376,Married,Platinum,14
311,50,Female,South,25,2680.0658397616694,595,Divorced,New,2
312,41,Female,South,27,17079.038278555345,518,Single,Silver,4
313,69,Male,East,44,60433.448431935256,576,Single,Platinum,12
314,28,Male,North,27,41072.94657733946,565,Divorced,Gold,11
315,66,Female,East,39,48380.573027802166,342,Divorced,Gold,8
316,25,Male,South,25,36523.983597923805,660,Single,Gold,8
317,53,Female,East,24,19851.119283119566,527,Divorced,Silver,7
318,55,Male,South,8,23462.108803303025,526,Divorced,Silver,5
319,57,Female,East,9,20351.14076539703,362,Single,Silver,7
320,37,Male,East,46,28656.240719759822,470,Married,Silver,6
321,52,Male,West,37,20667.720639633928,606,Divorced,Silver,7
322,65,Female,South,30,74522.11262597336,333,Married,Platinum,13
323,42,Male,East,19,76669.46419852054,429,Married,Platinum,14
324,52,Male,North,16,45641.35590260942,693,Married,Gold,8
325,42,Female,East,24,78195.29697074418,450,Divorced,Platinum,13
326,46,Male,East,44,61957.755007366206,683,Single,Platinum,13
327,35,Male,North,21,32479.744132527347,316,Single,Gold,9
328,63,Male,South,36,48755.49093377928,313,Single,Gold,8
329,35,Female,West,40,8214.066951751967,380,Single,New,1
330,19,Female,West,39,30459.304205778313,506,Single,Gold,11
331,52,Female,West,47,91076.44921617738,503,Single,Platinum,13
332,33,Male,North,6,23858.96690857153,678,Married,Silver,3
333,58,Male,East,5,40377.884700698865,843,Married,Gold,11
334,53,Male,South,14,1110.06261121203,322,Married,New,2
335,50,Male,East,45,89043.20281922075,461,Divorced,Platinum,12
336,21,Female,West,42,2782.585128171251,443,Divorced,New,1
337,50,Male,East,4,7551.830918746711,403,Divorced,New,2
338,31,Male,North,8,50793.41236829086,681,Single,Platinum,12
339,38,Male,North,24,17963.53649666186,754,Married,New,2
340,65,Female,South,11,51151.97341775203,716,Divorced,Platinum,12
341,37,Male,South,17,3123.0361366526718,623,Married,New,1
342,25,Male,West,21,19024.1731876907,470,Single,Silver,7
343,24,Male,South,26,33150.17276213853,573,Married,Gold,11
344,20,Male,East,43,22215.872942930535,751,Single,Silver,5
345,34,Male,North,48,19255.319394250633,424,Divorced,Silver,4
346,50,Female,North,44,9939.59178154531,682,Single,New,1
347,65,Male,North,45,41599.37586730878,616,Single,Gold,9
348,29,Male,South,27,41329.55650108481,406,Married,Gold,10
349,68,Male,North,16,34417.392602129104,762,Single,Gold,10
350,39,Male,North,26,14086.894387149114,729,Divorced,New,2
351,39,Male,North,33,16859.6699154,636,Divorced,Silver,5
352,63,Male,West,31,88126.4626125193,795,Single,Platinum,13
353,47,Male,West,48,66557.96230767385,661,Married,Platinum,13
354,55,Male,South,47,87598.29166966051,731,Divorced,Platinum,14
355,55,Male,North,6,37433.91999858951,819,Divorced,Gold,10
356,62,Male,South,44,99437.86200574228,705,Single,Platinum,13
357,68,Female,North,8,17566.824333819328,676,Single,Silver,3
358,25,Female,North,7,50076.19469416657,451,Divorced,Platinum,14
359,44,Female,North,34,41896.51082756771,621,Single,Gold,11
360,44,Female,South,44,49059.064001756764,513,Single,Gold,10
361,51,Male,South,14,82352.70274529897,364,Divorced,Platinum,12
362,38,Female,North,16,31714.47045496362,569,Married,Gold,8
363,47,Female,East,43,77024.01912331127,836,Married,Platinum,14
364,50,Male,South,9,48189.73872275455,399,Divorced,Gold,10
365,45,Female,West,10,1058.5546109201146,404,Single,New,2
366,64,Female,South,17,2502.2099155401893,430,Divorced,New,1
367,50,Male,North,12,27218.423341539245,688,Divorced,Silver,7
368,22,Male,East,6,9045.163959197345,620,Single,New,2
369,65,Male,North,19,85358.03104341355,737,Married,Platinum,14
370,36,Female,West,43,49831.20327279641,318,Married,Gold,11
371,21,Female,South,41,16353.23894379854,524,Single,Silver,7
372,52,Male,South,29,77283.82579182801,759,Divorced,Platinum,12
373,66,Male,North,6,84249.7361323793,693,Single,Platinum,13
374,34,Female,North,25,25539.67080553632,525,Divorced,Silver,7
375,61,Male,West,24,26902.26923016274,659,Single,Silver,7
376,45,Female,East,25,95881.30225496917,729,Single,Platinum,12
377,47,Male,West,16,37232.828912342295,314,Married,Gold,9
378,46,Male,East,16,52148.16964038179,845,Married,Platinum,13
379,63,Female,South,6,37248.83828961917,713,Single,Gold,9
380,23,Male,East,37,25074.221450808524,654,Single,Silver,6
381,52,Male,East,21,60672.804366682176,756,Married,Platinum,13
382,58,Male,South,4,18099.729515587103,830,Divorced,New,2
383,54,Female,South,34,60988.22288614154,495,Married,Platinum,13
384,41,Male,South,28,30201.268047603466,414,Divorced,Gold,8
385,46,Male,West,38,75404.03871117896,716,Married,Platinum,12
386,66,Male,South,41,44529.2314280724,651,Married,Gold,9
387,63,Male,North,28,4146.898064831506,374,Divorced,New,1
388,48,Male,South,17,26233.4369930518,335,Single,Silver,7
389,52,Male,South,14,4945.639007089074,541,Married,New,1
390,50,Female,South,7,33434.29234613471,362,Married,Gold,10
391,69,Female,East,22,16358.375906984324,808,Married,Silver,3
392,38,Male,West,1,25658.807473610213,487,Single,Silver,5
393,49,Female,South,29,69285.73938014389,392,Married,Platinum,12
394,40,Female,West,31,9214.963911313933,304,Single,New,1
395,50,Male,North,30,40805.10117147899,737,Married,Gold,10
396,20,Female,North,15,36968.64836441405,465,Divorced,Gold,10
397,35,Female,South,18,20234.863904845846,745,Married,Silver,3
398,42,Female,North,35,56571.893222632454,324,Married,Platinum,14
399,59,Female,West,30,41875.78307178313,807,Single,Gold,10
400,48,Female,East,34,79108.35677051611,397,Single,Platinum,13
401,20,Female,South,42,26999.905379047403,567,Single,Silver,7
402,57,Female,North,11,18017.95443700614,692,Divorced,Silver,5
403,63,Female,West,27,19361.844637137412,584,Divorced,Silver,6
404,41,Male,West,24,54861.89845477908,408,Single,Platinum,12
405,67,Male,North,35,35906.84404537814,326,Divorced,Gold,9
406,49,Female,West,39,4852.919041789606,354,Single,New,2
407,64,Female,West,8,98201.4202976992,432,Divorced,Platinum,14
408,39,Male,South,18,24795.9900431237,351,Single,Silver,3
409,40,Female,West,13,17828.739297791955,792,Single,New,1
410,19,Female,North,45,3929.5889669844114,597,Divorced,New,1
411,44,Male,South,24,2300.6153152728684,698,Married,New,1
412,59,Male,North,23,3310.4794772199684,317,Single,New,1
413,19,Male,East,12,3308.20921899389,545,Single,New,2
414,43,Female,North,49,23746.729924401407,802,Married,Silver,7
415,34,Female,North,30,36829.422649100576,388,Single,Gold,8
416,57,Male,South,31,8716.58977899951,502,Single,New,1
417,50,Male,West,28,49770.89038472996,539,Divorced,Gold,11
418,26,Female,North,22,36865.96810526897,789,Married,Gold,11
419,60,Male,South,44,85253.01368435053,312,Single,Platinum,14
420,65,Female,East,28,24862.29872880553,614,Single,Silver,5
421,56,Female,South,13,2750.162389590533,497,Married,New,1
422,46,Male,South,25,48360.17189641268,542,Married,Gold,8
423,59,Male,West,44,59972.12935942006,806,Divorced,Platinum,12
424,43,Female,North,46,44739.142633393974,342,Divorced,Gold,11
425,52,Male,East,7,4128.486780468812,629,Divorced,New,1
426,67,Male,South,45,20506.22350513457,728,Single,Silver,5
427,42,Male,North,6,21831.735793334403,461,Married,Silver,7
428,41,Male,North,24,18645.079780551394,734,Divorced,New,1
429,30,Female,South,19,32805.03883022424,532,Married,Gold,9
430,24,Female,North,19,52728.47889173769,410,Single,Platinum,12
431,53,Female,South,36,21030.612283706723,531,Single,Silver,7
432,62,Female,South,9,15833.776487131321,572,Married,Silver,7
433,37,Male,South,48,43752.01766114881,340,Married,Gold,8
434,18,Male,East,36,45206.50150054427,765,Divorced,Gold,11
435,25,Female,South,38,47094.24789506518,376,Married,Gold,11
436,63,Female,West,40,87192.11227417985,789,Divorced,Platinum,12
437,33,Male,North,29,48327.027873853585,416,Married,Gold,8
438,31,Female,East,24,87415.0561361611,733,Married,Platinum,12
439,29,Female,North,48,9424.680758905613,318,Married,New,1
440,68,Male,East,5,59655.53971046816,495,Single,Platinum,14
441,40,Female,West,42,39997.2626573546,750,Single,Gold,10
442,32,Male,East,45,99696.52998524543,724,Single,Platinum,14
443,45,Male,East,26,84078.90912713579,693,Divorced,Platinum,13
444,51,Female,East,14,93932.05589946287,583,Divorced,Platinum,12
445,19,Male,North,39,15455.906907492828,333,Single,Silver,5
446,49,Female,South,29,47435.157971368746,594,Single,Gold,10
447,40,Male,North,6,84885.66172860489,550,Married,Platinum,14
448,39,Female,South,7,33415.108679754216,638,Married,Gold,8
449,68,Female,North,37,10256.809564235966,739,Divorced,New,1
450,42,Female,West,18,62996.328906282644,479,Divorced,Platinum,13
451,39,Male,West,23,95788.6679496385,527,Married,Platinum,13
452,39,Male,East,44,7013.196448302578,322,Divorced,New,1
453,66,Female,West,38,48389.38208566648,626,Single,Gold,9
454,69,Male,East,1,5015.357042448335,453,Married,New,1
